,,,,,,,,
1,あみだにょらい,,字,,大乗仏教における信仰対象である,0,,
,阿弥陀如来,,,,阿弥陀仏の尊称。,,,
2,あんご、あんこ,3,字,,仏教の出家修行者たちが雨期に行う、,0,,
,安居,,,,外出を禁じて集団の修行生活を送る行事。,,,
3,いっさいかいく,,字,,一切の有為は無苦であるという仏教の教説。,0,,
,一切皆苦,,,,,,,
4,いんみょう,,字,,インドでおこなわれていた広義の論理学を,0,,
,因明,,,,指す仏語。,,,
5,うきみどう,,字,地,滋賀県大津市にある臨済宗大徳寺派の寺、,0,,
,浮御堂,,,,満月寺の通称。,,,
6,うろ,2,字,,仏教において、煩悩に関わる法のこと。,0,,
,有漏,,,,,,,
7,おうぐ,,字,,仏教を信仰し修行する比丘の中でも、,0,,
,応供,,,,供養を受けるにふさわしい者という意味。,,,
8,おうそうえこう,,字,,浄土真宗の重要な教義。,0,,
,往相回向,,,,自分の行じた善行功徳をもって往生を願うこと。,,,
9,おうばくしゅう,,字,,日本の三禅宗の一つ。,0,,
,黄檗宗,,,,,,,
10,おんりえど、えんりえど,,字,,仏語。,0,,
,厭離穢土,,,,この穢れた世界を厭い離れること。,,,
11,ごんぐじょうど,,字,,仏語。,0,,
,欣求浄土,,,,仏の国土に生まれることを願い求めること。,,,
12,かんぶつえ,,字,,釈迦の誕生を祝う仏教行事。,0,,
,灌仏会,,,,,,,
13,かんじょう,,字,,神仏の来臨や神託を祈り願うこと。,0,,
,勧請,,,,,,,
14,くえいっしょ,,字,,浄土教の往生の利益の一つ。,0,,
,倶会一処,,,,,,,
15,くおんじつじょう,,字,,法華経の教えにおける考え方の一つ。,0,,
,久遠実成,,,,,,,
16,くでんしょう,,字,,覚如が元弘元年に撰述した浄土真宗の書。,0,,
,口伝鈔,,,,,,,
17,くまらじゅう,,字,人,中国の仏典翻訳僧のうち、,0,,
,鳩摩羅什,,,,最も偉大な者の一人。,,,
18,くどく,3,字,,仏語。善い行為には、すぐれた結果を招く力が,0,,
,功徳,,,,徳としてそなわっていることをいう。,,,
19,けんぎょう,,字,,密教からみて、密教外の仏教の教えを指す語。,0,,
,顕教,,,,,,,
20,げんそうえこう,,字,,浄土教の重要な教義。,0,,
,還相回向,,,,阿弥陀如来より賜る回向のあり方のひとつ。,,,
21,こうせんるふ,,字,,仏法を広く宣伝すること。,0,,
,広宣流布,,,,,,,
22,ごうま,,字,,仏教においてマーラを降すこと。,0,,
,降魔,,,,,,,
23,ごうん,,字,,物質・精神より成る人間存在の,0,,
,五蘊,,,,5つの局面、または構成要素。,,,
24,ごんぎょう,,字,,仏教徒が勤めて善法を行い、,0,,
,勤行,,,,つねに仏道に精進すること。,,,
25,こんごうぶじ,,字,地,和歌山県高野山にある高野山真言宗総本山。,0,,
,金剛峯寺,,,,,,,
26,げだつ,3,字,,何らかの束縛から解き放されること。,0,,
,解脱,,,,,,,
27,さんげ、ざんげ,,字,,過去に犯した罪を告白して赦しを請うこと。,0,,
,懺悔,,,,,,,
28,じったい、じゅうたい,,字,,四諦の一つ。,0,,
,集諦,,,,苦の原因は愛執の念であるということ。,,,
29,さんじゅうしちどうほん,,字,,悟りの境地を実現する智慧をうるための,0,,
,三十七道品,,,,三七種類の実践修行のこと。,,,
30,さんぜんだいせんせかい,,字,, 仏語。宇宙についての単位。,0,,
,三千大千世界,,,,,,,
31,さんぼういん,,字,,仏教をそれ以外の教えから区別する印。,0,,
,三法印,,,,,,,
32,しきそくぜくう,,字,,物質的な存在の真相は空であり、,0,,
,色即是空,,,,執着される何ものもないということ。,,,
33,じごう,,字,,寺の称号。寺の名。,0,,
,寺号,,,,,,,
34,したい,,字,,迷いと悟りの両方にわたって因と果とを,0,,
