,,,,,,,,
1,(めんぜんちん)つも(ほー),2,画,,門前かつツモ和了の場合に成立する役。,1,,
,(門前清)自摸(和),,,,単に「ツモ」とも。,,,
2,ろん(ほー),2(〇ん),字,,他家の捨てた牌で上がること。,1,,
,栄(和),,,,,,,
3,ほーら、あがり,,字,,上がること。,1,,
,和了,,,,,,,
4,りーち,,字,,聴牌を宣言すること。また、その役。,1,,
,立直,,,,卓上に1000点棒を出す。,,,
5,いっぱつ,,字,,立直後一巡以内で上がること。,1,,
,一発,,,,,,,
6,たんやお,,字,,手配に么九牌を含んでいないときに,1,,
,断么,,,,成立する役。,,,
7,ぴんふ,3(ぴ〇〇),字,,面子が全て順子で、雀頭が役牌でなく、,1,,
,平和,,,,待ちが両面待ちのときに成立する役。,,,
8,いーぺーこー,,字,,同種同数の順子が2組あるときに,1,,
,一盃口,,,,成立する役。,,,
9,きょうだ,,字,,牌を強く卓に叩きつけること。,1,,
,強打,,,,また、危険牌を通すこと。,,,
10,(さんしょく)どうじゅん,,字,,萬子・索子・筒子それぞれの色で,1,,
,(三色)同順,,,,同じ並びの順子を作ったときに成立する役。,,,
11,(さんしょく)どうこう、どうこー、どうこく,4(〇う〇〇),字,,萬子・索子・筒子それぞれの色で,1,,
,(三色)同刻,,,,同じ並びの刻子を作ったときに成立する役。,,,
12,いっきつうかん,7,字,,同種の数牌で123・456・789と,1,,
,一気通貫,,,,揃えると成立する役。,,,
13,さんあんこう、さんあんこー,,字,,暗刻を3つ揃えた時に成立する役。,1,,
,三暗刻,,,,,,,
14,ちーといつ,5,字,,対子を7組そろえることで成立する役。,1,,
,七対子,,,,,,,
15,といとい,4,字,,刻子を4つ作って上がると成立する役。,1,,
,対々和,,,,トイトイは略称。,,,
16,ほんろーとう、ほんろうとう,,字,,4面子1雀頭が全て么九牌のときに,1,,
,混老頭,,,,成立する役。,,,
17,さんかんつ,,字,,槓子を3つ作ることで成立する役。,1,,
,三槓子,,,,,,,
18,しょうさんげん,,字,,白發中の2つを刻子または槓子にして、,1,,
,小三元,,,,残り1つを雀頭にした時に成立する役。,,,
19,こくしむそう,,字,,么九牌をすべて揃え、うち1つを雀頭に,1,,
,国士無双,,,,することで成立する役。,,,
20,りゃんぺーこー,,字,,一盃口が2つ出来ているときに,1,,
,二盃口,,,,成立する役。,,,
21,ほんいつ,4,字,,萬子、索子、筒子のどれか一種と、,1,,
,混一色,,,,字牌のみで上がった時に成立する役。,,,
22,ちんいつ,4,字,,萬子、索子、筒子のどれか一種のみを,1,,
,清一色,,,,使って上がった時に成立する役。,,,
23,すーあんこー、すーあんこう,6,字,,暗刻を4つ揃えた時に成立する役。,1,,
,四暗刻,,,,役満。,,,
24,だいさんげん,,字,,白發中のすべてを刻子または槓子にして,1,,
,大三元,,,,和了した時に成立する役。,,,
25,つーいーそー,,字,,字牌のみで構成された和了形。,1,,
,字一色,,,,,,,
26,しょうすーしー、しゃおすーしー,7(〇〇〇〇〇〇ー),字,,東南西北のうち3種を刻子・槓子にし、,1,,
,小四喜,,,,残り1種を雀頭にした時に成立する役。,,,
27,だいすーしー、たーすーしー,6(〇〇〇〇〇ー),字,,東南西北のすべてを刻子・槓子に,1,,
,大四喜,,,,した時に成立する役。,,,
28,りゅーいーそー、りゅういーそー,7(〇〇〇〇〇〇ー),字,,索子の2、3、4、6、8、發のみで,1,,
,緑一色,,,,上がった時に成立する役。,,,
29,ちんろうとう、ちんらおとう,6,字,,手牌全体が老頭牌(一九牌)だけで,1,,
,清老頭,,,,上がった時に成立する役。,,,
30,てんほう、てんほー,4,字,,親の配牌の時点で,1,,
,天和,,,,既に和了の形が完成している状態。,,,
31,ちーほう、ちーほー、ちいほう,4,字,,子が配牌時点で聴牌し、,1,,
,地和,,,,かつ第1ツモで和了することで成立する。,,,
32,ぽん,2(〇ん),字,,他家の捨て牌を使って,1,,
,碰,,,,刻子を作ること。,,,
33,ちー,2(〇ー),字,,他家の捨て牌を使って,1,,
,吃,,,,順子を作ること。,,,
34,はんちゃん,,字,,麻雀の試合単位。東南戦のことをいう。,1,,
,半荘,,,,全8局で構成される。,,,
35,とんぷーせん、とんぷうせん,,字,,東場の4局のこと。,1,,
,東風戦,,,,,,,
36,なんば,3,字,,半荘の2周目のこと。,1,,
,南場,,,,,,,
37,しゃーにゅう、しゃにゅう,,字,,場が西場に入ること。,1,,
,西入,,,,,,,
38,ぺー(ぬき),,字,,北を抜きドラとして扱うこと。,1,,
,北(抜き),,,,また、それを抜く行為。,,,
39,かみちゃ,4,字,,自分から見て左隣に座る人。,1,,
,上家,,,,,,,
40,といめん,4(と〇〇〇),字,,自分から見て正面に座る人。,1,,
,対面,,,,,,,
41,しもちゃ,,字,,自分から見て右隣に座る人。,1,,
,下家,,,,,,,
42,すーふーれんだ,7,字,,最初の打牌で全員が同じ風牌を,1,,
,四風連打,,,,捨てた場合に流局とする取り決め。,,,
43,はん、ふぁん、ほん,,字,,点数計算に用いる単位の一つ。,1,,
,飜,,,,,,,
44,ふ、ぶ,1,字,,点数計算に用いる単位の一つ。,1,,
,符,,,,,,,
45,まんがん,,字,,捨て牌がすべて么九牌のときに,1,,
